subject,Day0_27,PC3,PC4
O07,D25,-2.35,-3.14
O08,D25,-5.76,-1.86
O10,D25,-3.76,-3.86
T01,D25,-6.34,-3.96
T02,D25,-1.12,-7.52
T03,D25,1.28,-3.59
T04,D25,-0.48,-6.44
T05,D25,-0.05,-4.78
T06,D25,-2.86,-7.5
T07,D25,-2.73,-3.07
O01,D26,-7.01,-3.7
O02,D26,-3.49,-1.56
O03,D26,-1.74,-4.63
O06,D26,1.29,-3.16
O07,D26,-10.37,1.28
O08,D26,-6.43,-0.52
O10,D26,-4.87,-3.86
T01,D26,-6.62,0.8
T02,D26,-1.1,-7.2
T04,D26,-3.34,-5.01
T05,D26,1.2,-5.18
T06,D26,-3.27,-7.23
T07,D26,-6.31,-3.27
O01,D27,-2.17,-2.21
O02,D27,-5.67,-6.21
O03,D27,-3.04,-3.46
O04,D27,-2.26,-1.11
O05,D27,-6.74,-3.25
O06,D27,-5.06,-8.04
O07,D27,-4.55,-4.07
T02,D27,-0.4,-6.81
T03,D27,2.37,-6.17
T05,D27,2.29,-7.29
T06,D27,-3.58,-5.67
T07,D27,-2.01,-3.61
T09,D27,-0.94,-1.37
O01,D56,-1.72,3.81
O02,D56,-2.93,3.63
O03,D56,4.16,3.63
O04,D56,-4.3,-0.61
O05,D56,-8.32,4.47
O06,D56,-0.39,-1.14
O07,D56,-3.75,3.97
O08,D56,-4.37,8.83
O09,D56,-5.29,3.63
O10,D56,1.17,-0.01
T01,D56,0.55,-1.09
T02,D56,3.62,-3.46
T03,D56,5.55,-2.25
T04,D56,-1.31,-2.78
T05,D56,8,-2.56
T06,D56,-0.13,1.4
T07,D56,1.52,6.05
T08,D56,1.68,2.23
T09,D56,-7.5,1.01
