Fig 3A,,,
Group,Bin_name_1,Bin_name_2,average_r
O,Bin984,Bin142,0.59 
O,Bin984,Bin136,0.71 
O,Bin984,Bin128,0.65 
O,Bin984,Bin123,0.60 
O,Bin984,Bin95,0.66 
O,Bin635,Bin275,0.72 
O,Bin635,Bin94,0.72 
O,Bin761,Bin752,0.70 
O,Bin761,Bin739,0.69 
O,Bin761,Bin724,0.71 
O,Bin761,Bin718,0.62 
O,Bin761,Bin664,0.75 
O,Bin761,Bin649,0.75 
O,Bin761,Bin410,0.68 
O,Bin761,Bin390,0.60 
O,Bin761,Bin386,0.61 
O,Bin761,Bin333,0.71 
O,Bin761,Bin332,0.77 
O,Bin761,Bin324,0.76 
O,Bin761,Bin293,0.71 
O,Bin761,Bin289,0.59 
O,Bin761,Bin281,0.74 
O,Bin761,Bin280,0.68 
O,Bin761,Bin172,0.64 
O,Bin761,Bin154,0.74 
O,Bin761,Bin93,0.80 
O,Bin748,Bin724,0.69 
O,Bin748,Bin293,0.66 
O,Bin748,Bin281,0.73 
O,Bin748,Bin269,0.60 
O,Bin748,Bin93,0.75 
O,Bin739,Bin332,0.69 
O,Bin739,Bin324,0.72 
O,Bin739,Bin293,0.57 
O,Bin739,Bin93,0.78 
O,Bin293,Bin281,0.73 
O,Bin293,Bin280,0.68 
O,Bin293,Bin269,0.60 
O,Bin293,Bin93,0.70 
O,Bin963,Bin962,0.77 
O,Bin963,Bin961,0.63 
O,Bin963,Bin953,0.71 
O,Bin963,Bin950,0.58 
O,Bin963,Bin938,0.69 
O,Bin963,Bin737,0.68 
O,Bin963,Bin684,0.62 
O,Bin963,Bin610,0.88 
O,Bin963,Bin575,0.60 
O,Bin963,Bin286,0.69 
O,Bin963,Bin140,0.92 
O,Bin963,Bin97,0.66 
O,Bin963,Bin91,0.91 
O,Bin953,Bin951,0.65 
O,Bin953,Bin942,0.52 
O,Bin953,Bin938,0.63 
O,Bin953,Bin937,0.60 
O,Bin953,Bin842,0.64 
O,Bin953,Bin808,0.68 
O,Bin953,Bin800,0.63 
O,Bin953,Bin796,0.76 
O,Bin953,Bin791,0.60 
O,Bin953,Bin788,0.64 
O,Bin953,Bin732,0.75 
O,Bin953,Bin715,0.68 
O,Bin953,Bin710,0.69 
O,Bin953,Bin610,0.69 
O,Bin953,Bin600,0.73 
O,Bin953,Bin575,0.77 
O,Bin953,Bin542,0.61 
O,Bin953,Bin487,0.73 
O,Bin953,Bin290,0.72 
O,Bin953,Bin286,0.70 
O,Bin953,Bin140,0.69 
O,Bin953,Bin102,0.61 
O,Bin953,Bin97,0.69 
O,Bin953,Bin91,0.72 
O,Bin610,Bin557,0.54 
O,Bin610,Bin286,0.67 
O,Bin610,Bin140,0.83 
O,Bin610,Bin91,0.86 
O,Bin140,Bin97,0.70 
O,Bin140,Bin91,0.85 
