Fig 3B,,,
Group,Bin_name_1,Bin_name_2,average_r
T,Bin790,Bin456,-0.58 
T,Bin850,Bin456,-0.58 
T,Bin943,Bin456,-0.58 
T,Bin995,Bin456,-0.60 
T,Bin555,Bin460,-0.61 
T,Bin574,Bin460,-0.58 
T,Bin668,Bin460,-0.59 
T,Bin672,Bin460,-0.59 
T,Bin751,Bin460,-0.58 
T,Bin811,Bin460,-0.55 
T,Bin855,Bin460,-0.61 
T,Bin936,Bin460,-0.60 
T,Bin1091,Bin469,-0.52 
T,Bin924,Bin474,-0.59 
T,Bin775,Bin479,-0.60 
T,Bin790,Bin479,-0.65 
T,Bin863,Bin479,-0.57 
T,Bin1094,Bin479,-0.60 
T,Bin670,Bin484,-0.58 
T,Bin935,Bin484,-0.52 
T,Bin1054,Bin485,-0.58 
T,Bin945,Bin488,-0.51 
T,Bin964,Bin489,-0.61 
T,Bin573,Bin491,-0.52 
T,Bin742,Bin493,-0.55 
T,Bin667,Bin496,-0.53 
T,Bin775,Bin496,-0.54 
T,Bin670,Bin503,-0.60 
T,Bin677,Bin514,-0.60 
T,Bin765,Bin514,-0.52 
T,Bin824,Bin517,-0.56 
T,Bin1000,Bin517,-0.57 
T,Bin621,Bin525,-0.51 
T,Bin614,Bin533,-0.50 
T,Bin799,Bin533,-0.60 
T,Bin1049,Bin533,-0.55 
T,Bin555,Bin536,-0.56 
T,Bin759,Bin540,-0.55 
T,Bin905,Bin551,-0.64 
T,Bin701,Bin555,-0.68 
T,Bin850,Bin562,-0.64 
T,Bin911,Bin562,-0.55 
T,Bin924,Bin562,-0.50 
T,Bin905,Bin567,-0.55 
T,Bin634,Bin570,-0.62 
T,Bin629,Bin574,-0.57 
T,Bin775,Bin574,-0.56 
T,Bin901,Bin574,-0.44 
T,Bin975,Bin574,-0.59 
T,Bin995,Bin574,-0.52 
T,Bin842,Bin576,-0.56 
T,Bin978,Bin576,-0.56 
T,Bin777,Bin593,-0.58 
T,Bin958,Bin593,-0.63 
T,Bin775,Bin596,-0.60 
T,Bin850,Bin596,-0.64 
T,Bin863,Bin596,-0.60 
T,Bin901,Bin596,-0.57 
T,Bin958,Bin596,-0.55 
T,Bin995,Bin596,-0.65 
T,Bin693,Bin599,-0.66 
T,Bin775,Bin599,-0.60 
T,Bin995,Bin599,-0.65 
T,Bin1040,Bin599,-0.60 
T,Bin775,Bin605,-0.62 
T,Bin863,Bin605,-0.54 
T,Bin842,Bin616,-0.61 
T,Bin684,Bin629,-0.62 
T,Bin726,Bin629,-0.60 
T,Bin743,Bin629,-0.61 
T,Bin751,Bin629,-0.65 
T,Bin787,Bin629,-0.65 
T,Bin855,Bin629,-0.67 
T,Bin874,Bin629,-0.60 
T,Bin907,Bin629,-0.72 
T,Bin936,Bin629,-0.62 
T,Bin940,Bin629,-0.64 
T,Bin1026,Bin629,-0.57 
T,Bin1051,Bin629,-0.64 
T,Bin1059,Bin629,-0.54 
T,Bin671,Bin634,-0.56 
T,Bin693,Bin634,-0.61 
T,Bin744,Bin634,-0.60 
T,Bin775,Bin634,-0.59 
T,Bin958,Bin634,-0.52 
T,Bin786,Bin636,-0.52 
T,Bin850,Bin636,-0.52 
T,Bin1094,Bin636,-0.57 
T,Bin751,Bin649,-0.50 
T,Bin822,Bin649,-0.63 
T,Bin855,Bin661,-0.54 
T,Bin936,Bin661,-0.52 
T,Bin698,Bin668,-0.56 
T,Bin701,Bin668,-0.68 
T,Bin842,Bin668,-0.73 
T,Bin905,Bin668,-0.62 
T,Bin958,Bin668,-0.67 
T,Bin978,Bin668,-0.55 
T,Bin1021,Bin668,-0.56 
T,Bin754,Bin671,-0.57 
T,Bin693,Bin677,-0.57 
T,Bin743,Bin680,-0.56 
T,Bin1051,Bin680,-0.57 
T,Bin693,Bin684,-0.62 
T,Bin1021,Bin688,-0.53 
T,Bin693,Bin690,-0.62 
T,Bin863,Bin690,-0.60 
T,Bin1021,Bin690,-0.52 
T,Bin726,Bin693,-0.67 
T,Bin741,Bin693,-0.59 
T,Bin855,Bin693,-0.65 
T,Bin874,Bin693,-0.61 
T,Bin909,Bin693,-0.65 
T,Bin936,Bin693,-0.62 
T,Bin940,Bin693,-0.59 
T,Bin980,Bin693,-0.65 
T,Bin751,Bin701,-0.66 
T,Bin874,Bin701,-0.56 
T,Bin1051,Bin704,-0.52 
T,Bin1051,Bin720,-0.56 
T,Bin850,Bin723,-0.58 
T,Bin775,Bin726,-0.65 
T,Bin790,Bin726,-0.68 
T,Bin850,Bin726,-0.56 
T,Bin863,Bin726,-0.62 
T,Bin744,Bin741,-0.63 
T,Bin775,Bin741,-0.60 
T,Bin863,Bin741,-0.55 
T,Bin935,Bin741,-0.61 
T,Bin995,Bin741,-0.61 
T,Bin1094,Bin741,-0.63 
T,Bin744,Bin743,-0.60 
T,Bin775,Bin743,-0.60 
T,Bin863,Bin743,-0.55 
T,Bin924,Bin743,-0.54 
T,Bin784,Bin744,-0.58 
T,Bin941,Bin744,-0.63 
T,Bin946,Bin744,-0.57 
T,Bin951,Bin744,-0.63 
T,Bin1026,Bin744,-0.61 
